symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
MMM,2015-06-30,159.1000,160.8700,153.9200,154.3000,117.0766,48517454,0.0000
MMM,2015-05-29,156.7900,163.7700,156.5500,159.0800,120.7035,42820083,1.0250
MMM,2015-04-30,164.2900,167.7000,156.0100,156.3900,117.9159,53241696,0.0000
MMM,2015-03-31,168.1600,170.5000,161.2100,164.9500,124.3700,48138936,0.0000
MMM,2015-02-27,162.1200,169.9800,160.8900,168.6500,127.1598,37342675,1.0250
MMM,2015-01-30,164.7100,166.5700,157.7440,162.3000,121.6141,54737414,0.0000
MMM,2014-12-31,158.3500,168.1600,155.5900,164.3200,123.1277,53499209,0.0000
MMM,2014-11-28,153.1400,160.8600,152.9800,160.0900,119.9581,41077868,0.8550
MMM,2014-10-31,141.1600,154.4400,130.6000,153.7700,114.6055,85011714,0.0000
MMM,2014-09-30,143.3000,147.8700,140.6600,141.6800,105.5947,51753461,0.0000
MMM,2014-08-29,139.9500,145.3900,138.4300,144.0000,107.3239,37368444,0.8550
MMM,2014-07-31,143.4100,146.4300,140.6000,140.8900,104.3887,43313100,0.0000
MMM,2014-06-30,142.2700,145.5300,141.6100,143.2400,106.1299,35654200,0.0000
MMM,2014-05-30,139.5000,143.3700,138.6500,142.5500,105.6187,48494200,0.8550
MMM,2014-04-30,135.8800,139.5200,132.0200,139.0900,102.4324,52411200,0.0000
MMM,2014-03-31,133.0700,135.8706,129.7000,135.6600,99.9064,60219300,0.0000
MMM,2014-02-28,128.2200,135.2000,123.6100,134.7300,99.2215,62329700,0.8550
MMM,2014-01-31,138.0500,139.2900,126.4200,128.1900,93.7904,60369400,0.0000
MMM,2013-12-31,131.6700,140.4300,125.1510,140.2500,102.6141,73382000,0.0000
MMM,2013-11-29,126.7600,134.1600,124.8600,133.5100,97.6828,45827900,0.6350
MMM,2013-10-31,119.6900,126.3800,116.6500,125.8500,91.6279,54356200,0.0000
MMM,2013-09-30,114.5700,122.2700,112.8500,119.4100,86.9391,53217500,0.0000
MMM,2013-08-30,118.3800,119.2600,112.3600,113.5800,82.6945,44047400,0.6350
MMM,2013-07-31,108.3700,118.5960,108.2100,117.4300,85.0215,52519700,0.0000
MMM,2013-06-28,110.7000,113.2500,107.1500,109.3500,79.1715,53296100,0.0000
MMM,2013-05-31,104.7800,112.3800,104.4200,110.2700,79.8376,62323200,0.6350
MMM,2013-04-30,106.0000,108.7200,102.8900,104.7100,75.3800,67230500,0.0000
MMM,2013-03-28,103.3900,106.8800,102.5900,106.3100,76.5318,50128700,0.0000
MMM,2013-02-28,101.4400,104.5600,100.5800,104.0000,74.8688,47905000,0.6350
MMM,2013-01-31,94.1900,101.9500,93.9600,100.5500,71.9411,62614800,0.0000
MMM,2012-12-31,91.4100,94.1400,89.5950,92.8500,66.4319,54850200,0.0000
