symbol,timestamp,open,high,low,close,adjusted close,volume,dividend amount
A,2012-03-30,43.7400,46.2800,41.8900,44.5100,29.1030,61472900,0.1000
A,2012-02-29,43.0800,45.3500,41.7600,43.6200,28.4572,59955100,0.0000
A,2012-01-31,35.8400,44.8500,35.5900,42.4700,27.7069,72532700,0.0000
A,2011-12-30,37.3000,38.5800,32.5100,34.9300,22.7879,58593500,0.0000
A,2011-11-30,35.2400,39.3900,33.2150,37.5000,24.4645,87117500,0.0000
A,2011-10-31,30.9000,41.0500,28.6700,37.0700,24.1840,122237200,0.0000
A,2011-09-30,36.8000,37.4100,30.7300,31.2500,20.3871,115780900,0.0000
A,2011-08-31,42.6200,42.7800,30.2200,36.8700,24.0535,161036800,0.0000
A,2011-07-29,51.2300,52.6200,41.2900,42.1600,27.5047,82633000,0.0000
A,2011-06-30,49.7900,51.9900,46.3800,51.1100,33.3435,77248700,0.0000
A,2011-05-31,50.2500,55.3300,48.1300,49.8700,32.5346,79257900,0.0000
A,2011-04-29,44.8800,50.6800,44.2600,49.9100,32.5607,64072700,0.0000
A,2011-03-31,41.9800,46.8100,40.3600,44.7800,29.2139,99249600,0.0000
A,2011-02-28,42.0700,45.4150,39.9400,42.0800,27.4525,80894800,0.0000
A,2011-01-31,41.5600,44.4500,40.8800,41.8300,27.2894,64333300,0.0000
A,2010-12-31,35.6500,42.0800,35.6100,41.4300,27.0284,74448800,0.0000
A,2010-11-30,34.9400,37.5500,34.3800,35.0200,22.8466,63843000,0.0000
A,2010-10-29,33.6900,35.3300,32.2900,34.8000,22.7031,65063300,0.0000
A,2010-09-30,27.4500,33.5400,27.4300,33.3700,21.7702,68056800,0.0000
A,2010-08-31,28.3500,29.8700,26.6800,26.9700,17.5949,75721100,0.0000
A,2010-07-30,28.5000,29.7300,26.7400,27.9300,18.2212,82491000,0.0000
A,2010-06-30,32.0900,33.3700,28.3200,28.4300,18.5474,72778000,0.0000
A,2010-05-28,36.5000,36.8900,29.9700,32.3600,21.1113,89200600,0.0000
A,2010-04-30,34.5400,37.4300,33.5494,36.2600,23.6556,76023600,0.0000
A,2010-03-31,31.4300,34.7500,31.4300,34.3900,22.4356,85947100,0.0000
A,2010-02-26,28.1600,31.5200,28.1300,31.4600,20.5241,77441600,0.0000
A,2010-01-29,31.3900,31.6300,27.9200,28.0300,18.2864,57197100,0.0000
A,2009-12-31,29.1000,31.7700,28.9800,31.0700,20.2697,54793500,0.0000
A,2009-11-30,24.7400,29.7092,24.6900,28.9200,18.8671,54959300,0.0000
A,2009-10-30,26.6300,27.7500,24.6100,24.7400,16.1401,68288900,0.0000
A,2009-09-30,25.5100,29.3800,24.9600,27.8300,18.1560,87127600,0.0000
A,2009-08-31,23.6100,26.0500,23.1400,25.6800,16.7533,82995000,0.0000
A,2009-07-31,20.3700,23.8900,18.5000,23.2200,15.1484,74581300,0.0000
A,2009-06-30,18.4400,20.5600,18.1700,20.3100,13.2500,70640400,0.0000
A,2009-05-29,18.2100,19.4200,17.2600,18.2300,11.8930,56733000,0.0000
A,2009-04-30,15.1200,18.9400,15.0200,18.2600,11.9126,72704400,0.0000
A,2009-03-31,13.6000,17.1800,12.0200,15.3700,10.0272,87628800,0.0000
A,2009-02-27,17.7900,19.6900,13.8000,13.8700,9.0486,85762200,0.0000
A,2009-01-30,15.6000,20.0400,15.5100,18.0800,11.7952,102681300,0.0000
A,2008-12-31,18.4200,18.4200,14.7600,15.6300,10.1968,124345500,0.0000
A,2008-11-28,22.1300,25.0700,15.7800,18.8300,12.2845,58283400,0.0000
A,2008-10-31,29.1800,29.9200,18.7500,22.1900,14.4765,78802800,0.0000
A,2008-09-30,35.0900,35.7000,28.6400,29.6600,19.3498,64919700,0.0000
A,2008-08-29,36.1400,37.2500,34.2300,34.7600,22.6770,41695300,0.0000
A,2008-07-31,35.0400,36.9200,34.4000,36.0600,23.5251,57988700,0.0000
A,2008-06-30,36.9300,38.0000,35.3500,35.5400,23.1859,60364600,0.0000
A,2008-05-30,30.2000,37.5000,29.8900,37.3900,24.3928,62460500,0.0000
A,2008-04-30,29.9100,31.9900,28.7900,30.2100,19.7086,48312600,0.0000
A,2008-03-31,30.6700,31.2900,28.8800,29.8300,19.4607,53015100,0.0000
A,2008-02-29,34.0000,34.8600,30.4800,30.6100,19.9696,81940600,0.0000
A,2008-01-31,36.6700,37.8300,31.2600,33.8600,22.0898,74045700,0.0000
A,2007-12-31,37.4800,38.2400,34.9800,36.7400,23.9687,39541300,0.0000
A,2007-11-30,36.6700,38.1400,32.8700,37.8300,24.6798,52180500,0.0000
A,2007-10-31,36.9700,39.3200,35.4400,36.8500,24.0405,38861500,0.0000
A,2007-09-28,36.5900,37.5300,35.7600,36.8800,24.0601,35722800,0.0000
A,2007-08-31,38.0500,39.0000,31.1500,36.4000,23.7469,76099800,0.0000
A,2007-07-31,38.7000,40.4200,37.2600,38.1500,24.8886,49540900,0.0000
A,2007-06-29,38.2300,39.4400,36.9400,38.4400,25.0778,42340800,0.0000
A,2007-05-31,34.4800,38.9700,34.4000,38.1700,24.9016,69771200,0.0000
A,2007-04-30,33.6300,35.8000,33.4900,34.3700,22.4226,55277400,0.0000
A,2007-03-30,31.1500,33.9600,30.2600,33.6900,21.9789,62035800,0.0000
A,2007-02-28,32.1700,34.1500,31.2400,31.7500,20.7133,62754100,0.0000
